,message_id,dt,text,sender_id,source
83,14816,2022-04-18 11:05:57,,5242474306,DollarEuroFrank
84,14815,2022-04-18 10:57:36,,5230120344,DollarEuroFrank
85,14814,2022-04-18 10:48:07,,606856596,DollarEuroFrank
86,14812,2022-04-18 10:39:00,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
87,14811,2022-04-18 10:36:35,,1042944709,DollarEuroFrank
88,14810,2022-04-18 10:33:41,"В Германии есть евро по курсу 100р, в Москве беру рубли, предложение в личку",1316762833,DollarEuroFrank
89,14809,2022-04-18 10:30:23,"Краснодар продам наличные
Доллар $ 92
Евро     € 102
Новые купюры, нового образца. Обмен только через проверку в кассе банка. Запрос в л/с",457763062,DollarEuroFrank
90,14807,2022-04-18 10:18:17,,1307818021,DollarEuroFrank
91,14805,2022-04-18 10:15:55,,180609180,DollarEuroFrank
92,14804,2022-04-18 10:12:16,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
93,14803,2022-04-18 10:08:34,"💥💥💥
Продам $ в Ростове по 100 рублей. 100$ купюры нового образца. 3000$",220192010,DollarEuroFrank
94,14802,2022-04-18 10:08:16,Продам 100$ (новая купюра) - по 100 р за $ Железноводск,1775074040,DollarEuroFrank
95,14801,2022-04-18 10:04:27,"Куплю  до 3400$ по 87,5 Москва приеду к вам",5347834892,DollarEuroFrank
96,14800,2022-04-18 10:04:08,"Куплю от 5000 $ по 88, € по 95 Зеленоград М.О.",5180046433,DollarEuroFrank
97,14799,2022-04-18 09:56:55,Продам доллары Екатеринбург,94365040,DollarEuroFrank
98,14798,2022-04-18 09:53:28,Продам $ 500 - по 92 ₽ мск,731896425,DollarEuroFrank
99,14796,2022-04-18 09:43:29,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
100,14795,2022-04-18 09:43:24,"Продам $ наличка,93р.Севастополь",5145005279,DollarEuroFrank
101,14794,2022-04-18 09:40:25,"Продам $ по 92,Москва юго-запад",578982915,DollarEuroFrank
102,14793,2022-04-18 09:39:42,"20к $, новьё, по 130 за 1$
В лс",2126609852,DollarEuroFrank
103,14792,2022-04-18 09:39:17,Саратов продам $ по 90,2045518193,DollarEuroFrank
104,14791,2022-04-18 09:05:28,,1615562623,DollarEuroFrank
105,14790,2022-04-18 09:00:53,"Продам до 3000$ по 90
Мск",463769127,DollarEuroFrank
106,14789,2022-04-18 09:00:16,Продам $ 500 - по 92 ₽ мск,731896425,DollarEuroFrank
107,14788,2022-04-18 08:55:03,"Куплю  до 3400$ по 87,5 Москва приеду к вам",5347834892,DollarEuroFrank
108,14787,2022-04-18 08:46:09,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
109,14786,2022-04-18 08:41:31,"Доброго времени! 
Продам 5400$ по 95₽
Проверка в банке.
Доллары нового образца.
СПб",592213042,DollarEuroFrank
110,14785,2022-04-18 08:37:41,Продажа $ Ростовская область по 💯₽,5106717537,DollarEuroFrank
111,14784,2022-04-18 08:37:30,,1481368564,DollarEuroFrank
112,14783,2022-04-18 08:32:57,"Продам $
Новые 
РСО-Алания",963881008,DollarEuroFrank
113,14782,2022-04-18 08:31:30,Продам $$$ по 90,1731751957,DollarEuroFrank
114,14781,2022-04-18 08:25:51,,1541859794,DollarEuroFrank
115,14780,2022-04-18 08:20:05,Продам $ Челябинск,2096126773,DollarEuroFrank
116,14779,2022-04-18 08:17:28,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
117,14778,2022-04-18 08:05:38,"Есть 3300 долларов разными купюрами (100,50,20) продам по 90р
Москва, ВАО",5045361587,DollarEuroFrank
118,14777,2022-04-18 08:01:46,Беру доллары в США даю рубли в России,1576366613,DollarEuroFrank
119,14776,2022-04-18 07:58:28,,280407327,DollarEuroFrank
